ID,describe_strategy,people_present,strategy_aids,other_comments_s1,researcher_rating
2069372,,,,,1
2069368,,,,,1
2069370,,,,,1
2069365,,,,,1
2069383,,,,,1
2069369,,,,,1
2069537,,,,,1
2069522,,,,,1
2070024,,,,,1
2075961,,,,,1
2075957,,,,,1
2075962,,,,,1
2075946,,,,,1
2075956,,,,,1
2075953,,,,,1
2075950,,,,,1
2075959,,,,,1
2075952,,,,,1
2076070,,,,,1
2080720,,,,,1
2080715,,,,,1
2080734,,,,,1
2080727,,,,,1
2080725,,,,,1
2080722,,,,,1
2080713,,,,,1
2080747,,,,,1
2080721,,,,,1
2080739,,,,,1
2080749,,,,,1
2080726,,,,,1
2080812,,,,,1
2083601,,,,,1
2083602,,,,,1
2083615,,,,,1
2083616,,,,,1
2083617,,,,,1
2083618,,,,,1
2083637,,,,,1
2083612,,,,,1
2083634,,,,,1
2083627,,,,,1
2083652,,,,,1
2083651,,,,,1
2083678,,,,,1
2083605,,,,,1
2083679,,,,,1
2083628,,,,,1
2083814,,,,,1
2088713,,,,,1
2088714,,,,,1
2088711,,,,,1
2088745,,,,,1
2088758,,,,,1
2088710,,,,,1
2088770,,,,,1
2104745,,,,,1
2104752,,,,,1
2104761,,,,,1
2104762,,,,,1
2104751,,,,,1
2104763,,,,,1
2104774,,,,,1
2104757,,,,,1
2104787,,,,,1
2104817,,,,,1
2104760,,,,,1
2104820,,,,,1
2105515,,,,,1
2113689,,,,,1
2113692,,,,,1
2113700,,,,,1
2113693,,,,,1
2113697,,,,,1
2113690,,,,,1
2113688,,,,,1
2113701,,,,,1
2113703,,,,,1
2113742,,,,,1
2113752,,,,,1
2113796,,,,,1
2125180,,,,,1
2125196,,,,,1
2125200,,,,,1
2125186,,,,,1
2125197,,,,,1
2125194,,,,,1
2125189,,,,,1
2125192,,,,,1
2125205,,,,,1
2125191,,,,,1
2125207,,,,,1
2125213,,,,,1
2125209,,,,,1
2125217,,,,,0
2125183,,,,,1
2125202,,,,,1
2125241,,,,,1
2125198,,,,,1
2125256,,,,,1
2127990,,,,,1
2127996,,,,,1
2128001,,,,,1
2128015,,,,,1
2128009,,,,,1
2128017,,,,,1
2127989,,,,,1
2128013,,,,,1
2127986,,,,,1
2128039,,,,,1
2128012,,,,,1
2128038,,,,,1
2128010,,,,,1
2128004,,,,,1
2128064,,,,,1
2128011,,,,,1
2128127,,,,,1
2128130,,,,,1
2131208,,,,,1
2131209,,,,,1
2131212,,,,,1
2131205,,,,,1
2131260,,,,,1
2131306,,,,,1
2138050,,,,,1
2138024,,,,,1
2155929,,,,,1
2155931,,,,,1
2155924,,,,,1
2155958,,,,,1
2155936,,,,,1
2155933,,,,,1
2156020,,,,,1
2155928,,,,,1
2156476,,,,,1
2156001,,,,,1
2157058,,,,,1
