ID,other_comments_s2,researcher_rating
2069369,I started to remember more of the word trios after a round or two of the exercise and this may affect my results. Also I noticed that some of the trios that I was sure of did not have the correct matching word occasionally in the exercise for some of the sets.,
2069537,NA,
2069365,NA,
2070024,"Having 6 seconds really affected my answers, would have liked longer time",
2069383,NA,
2069368,NA,
2069370,No,
2069522,NA,
2069372,NA,
2075961,NA,
2076070,NA,
2075950,"No, everything was good.",
2075956,It would be nice to give a 3 second warning here as I missed a few due to that. Otherwise was a fun study,
2075962,NA,
2075953,NA,
2075946,NA,
2075952,NA,
2075959,NA,
2080734,NA,
2080715,NA,
2080713,NA,
2080747,NA,
2080725,Nothing at all.,
2080726,thank you,
2080749,"There was none. It was definitely far more challenging than the first, but very intriguing still",
2080727,NA,
2080812,NA,
2080720,NA,
2080739,no,
2083627,NA,
2083605,"The 6 seconds was very very short and added tons of stress, due to which I pressed the wrong key (number a few time trying to rush). Also, the short time to react almost removed the chances of me being able to eliminate the options that I was sure about and select amongst the ones that I doubt about! I could have performed better if there was no time limit. Also, could barely remember much since the last time I did the test, so a review would have been defenitely helpful.",
2083617,no,
2083814,no,
2083651,NA,
2083652,NA,
2083678,NA,
2083615,NA,
2083628,My laptop froze for a minute,
2083679,NA,
2083634,NA,
2083637,it was hard!!,
2083618,NA,
2083612,NA,
2088711,NA,
2088758,NA,
2083602,NA,
2088714,"maybe allow more time for each answer, so someone can get the answer by process of elimination",
2088710,NA,
2088745,NA,
2088713,NA,
2083616,NA,
2105515,NA,
2104752,this was really challenging to remember,
2104761,NA,
2104760,NA,
2104745,i'm sure some of the answeres weren't available,
2104817,NA,
2104751,NA,
2104774,NA,
2104787,NA,
2113752,NA,
2113742,NA,
2113688,NA,
2113692,NA,
2113690,enjoyed taking part . thank you,
2113796,NA,
2113701,NA,
2113703,NA,
2113700,NA,
2125241,NA,
2125194,n/a,
2125202,NA,
2125209,"No technical issues, but this was very challenging. I didn't realise that my memory was so poor",
2125205,no,
2125213,NA,
2125207,NA,
2125191,Just thank you for allowing me to take part in this very interesting study!,
2125183,"No, everything was fine.",
2125196,NA,
2125198,NA,
2125192,NA,
2125180,NA,
2125200,NA,
2125197,N/a,
2125186,NA,
2128012,no,
2128009,No,
2128015,NA,
2128039,NA,
2128064,NA,
2127986,n/a,
2128038,NA,
2127989,NA,
2128011,NA,
2127990,NA,
2128127,-,
2128010,NA,
2128130,NA,
2127996,NA,
2128013,None,
2128004,NA,
2131260,"I'm sure the wolf was linked with University but that choice never came up. Also with the 6 seconds, i think i got panicked and pressed too quickly on a few an dpressed the wrong one.",
2131209,NA,
2131306,Nothing.,
2131208,NA,
2138050,NA,
2138024,NA,
2155924,No technical issues,
2155931,no,
2156020,"No, everything went smoothly",
2156476,NA,
2156001,n/a,
2157058,NA,
2155929,NA,
2155958,i may have just forgotten some words but found them very hard to match as i don't recall a number - whereas others were much easier,
